"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"5/16/2019","Viator","VIATORTRIPADVISOR US","60.00","credit","Travel","Venture","",""
"5/15/2019","Greyhound","GREYHOUND LINES CNP","56.00","debit","Travel","Venture","",""
"5/15/2019","Viator","VIATORTRIPADVISOR US","100.00","debit","Travel","Venture","",""
"5/15/2019","Level Up","LEVELUP*TROPICALSMOOTH","6.53","debit","Fast Food","Venture","",""
"5/15/2019","SAIGON & TOKYO","SAIGON & TOKYO","47.00","debit","Restaurants","Venture","",""
"5/15/2019","Liberty","LIBERTY CAFE W10183481","5.15","debit","Fast Food","Venture","",""
"5/14/2019","STRAIGHTTALK*SERVICES","STRAIGHTTALK*SERVICES","138.10","debit","Mobile Phone","Venture","",""
"5/14/2019","Circle K","CIRCLE K 07248","30.00","debit","Gas & Fuel","Venture","",""
"5/13/2019","Sunoco","SUNOCO 0598351500","2.71","debit","Fast Food","Venture","",""
"5/13/2019","Travel Reward","CREDIT-TRAVEL REWARD","84.81","credit","Credit Card Rewards","Venture","",""
"5/13/2019","Lowe's","LOWES #02449*","59.46","debit","Home Supplies/Servic","Venture","",""
"5/13/2019","Level Up","LEVELUP*TROPICALSMOOTH","9.23","debit","Fast Food","Venture","",""
"5/11/2019","Wal-Mart","WALMART.COM 8009666546","110.44","debit","Home Supplies/Servic","Venture","",""
"5/11/2019","AUTO AIR & VACUUM SVC","AUTO AIR & VACUUM SVC","1.75","debit","Service & Parts","Venture","",""
"5/11/2019","AUTO AIR & VACUUM SVC","AUTO AIR & VACUUM SVC","1.75","debit","Service & Parts","Venture","",""
"5/10/2019","Netflix","Netflix.com","12.99","debit","Subscriptions","Venture","",""
"5/09/2019","Meineke","MEINEKE CAR CARE CENTER O","93.94","debit","Service & Parts","Venture","",""
"5/09/2019","JOHNSON SEAFOOD & STEAK","JOHNSON SEAFOOD & STEAK","72.00","debit","Restaurants","Venture","",""
"5/06/2019","Market Basket","MARKET BASKET 00000810","16.76","debit","Groceries","Venture","",""
"5/06/2019","DirecTV","ATT*BILL PAYMENT","60.18","debit","Cable/ Internet","Venture","",""
"5/06/2019","Invisible Fence","INVISIBLE FENCE OF SOUTHE","68.00","debit","Pet Food & Supplies","Venture","",""
"5/06/2019","Level Up","LEVELUP*TROPICALSMOOTH","12.62","debit","Fast Food","Venture","",""
"5/06/2019","iTunes","APL*ITUNES.COM/BILL","4.99","debit","Music","Venture","",""
"5/04/2019","THECUTEKID.COM","THECUTEKID.COM","19.95","debit","Baby Supplies","Venture","",""
"5/03/2019","Old Navy","OLD NAVY ON-LINE","47.00","debit","Clothing - SAP","Venture","",""
"5/02/2019","Level Up","LEVELUP*TROPICALSMOOTH","12.62","debit","Fast Food","Venture","",""
"5/01/2019","Capital One","CAPITAL ONE MOBILE PYMT AuthDate 30-Apr","1820.00","credit","Transfer","Venture","",""
"5/01/2019","CHEGG ORDER","CHEGG ORDER","14.95","debit","Subscriptions","Venture","",""
"4/30/2019","Amazon","AMAZON.COM*MZ2AG19J1 AMZN","12.98","debit","Groceries","Venture","",""
"4/30/2019","Amazon","AMZN MKTP US*MZ7E877M1 AM","19.99","debit","Gifts & Donations","Venture","",""
"4/29/2019","ASHLEYFURNITUREHOMESTORE.","ASHLEYFURNITUREHOMESTORE.","718.99","debit","Home Supplies/Servic","Venture","",""
"4/29/2019","Liberty","LIBERTY CAFE W10183481","9.25","debit","Fast Food","Venture","",""
"4/26/2019","Liberty","LIBERTY CAFE W10183481","5.80","debit","Fast Food","Venture","",""
"4/26/2019","Liberty","LIBERTY CAFE W10183481","1.70","debit","Fast Food","Venture","",""
"4/25/2019","McDonald's","MCDONALD'S F25743","9.01","debit","Fast Food","Venture","",""
"4/25/2019","Circle K","CIRCLE K 07248","8.46","debit","Gas Stn Snacks/Beer","Venture","",""
"4/24/2019","iTunes","APL*ITUNES.COM/BILL","0.99","debit","Music","Venture","",""
"4/24/2019","Amazon","AMZN MKTP US*MZ9RZ51J2 AM","23.99","debit","Misc Shopping","Venture","",""
"4/24/2019","Liberty Mutual","LIBERTY MUTUAL RECUR","150.58","debit","Auto Insurance","Venture","",""
"4/24/2019","Level Up","LEVELUP*TROPICALSMOOTH","14.68","debit","Fast Food","Venture","",""
"4/22/2019","BARRIO TACOS - PORTSMOUTH","BARRIO TACOS - PORTSMOUTH","49.98","debit","Restaurants","Venture","",""
"4/22/2019","Home Depot","THE HOME DEPOT #3489","157.20","debit","Home Supplies/Servic","Venture","",""
"4/22/2019","iTunes","APL*ITUNES.COM/BILL","0.99","debit","Music","Venture","",""
"4/20/2019","Chili's","CHILI'S DOVER","27.00","debit","Restaurants","Venture","",""
"4/19/2019","iTunes","APL* ITUNES.COM/BILL","5.99","debit","Music","Venture","",""
"4/17/2019","Amazon","Amazon.com*MZ01T2ZH2","18.90","debit","Groceries","Venture","",""
"4/15/2019","MARKET SQUARE NEWS","MARKET SQUARE NEWS","7.10","debit","Groceries","Venture","",""
"4/15/2019","iTunes","APL* ITUNES.COM/BILL","9.72","debit","Music","Venture","",""
"4/15/2019","RI RA IRISH PUB PORTSMOUT","RI RA IRISH PUB PORTSMOUT","11.81","debit","Alcohol & Bars","Venture","",""
"4/15/2019","RI RA IRISH PUB PORTSMOUT","RI RA IRISH PUB PORTSMOUT","7.54","debit","Alcohol & Bars","Venture","",""
"4/12/2019","Liberty","LIBERTY CAFE W10183481","5.50","debit","Fast Food","Venture","",""
"4/11/2019","Taco Bell","TACO BELL #29561","8.06","debit","Babysitter & Daycare","Venture","",""
"4/11/2019","TUMBLEDOWN CAFE LLC","TUMBLEDOWN CAFE LLC","50.00","debit","Restaurants","Venture","",""
"4/11/2019","EXTREME HAIR","EXTREME HAIR","30.00","debit","Hair","Venture","",""
"4/11/2019","FOREST PUMP AND FILTER","FOREST PUMP AND FILTER","16.00","debit","Restaurants","Venture","",""
"4/11/2019","Circle K","CIRCLE K 07248","39.13","debit","Gas & Fuel","Venture","",""
"4/10/2019","Amazon","AMZN MKTP US AMZN.COM/BIL","21.99","credit","Clothing - SAP","Venture","",""
"4/10/2019","Netflix","Netflix.com","12.99","debit","Subscriptions","Venture","",""
